load_zone,avg_growth,peak_growth
p26,-0.0006318683559650548,0.002793268081146086
p27,0.008656560777650391,0.00925054642329804
p28,0.025051802890275168,0.021235125717765983
p29,0.02581462738756539,0.021322738381238694
p3,0.01235469063354496,0.01195525402477926
p30,0.02178055769736405,0.01908052882659109
p31,0.0009845289235010035,0.012264965361077233
p32,0.012181774741235154,0.010099417124465408
p33,0.013124776813984135,0.00955968073601203
p34,0.0053989502120751435,0.005726847285535369
p35,0.013822696301997912,0.013136421398832903
p36,0.023998002610774432,0.018041439199083156
p37,0.024948943493345904,0.01945462119417355
p38,0.02304766883626088,0.016667895546169237
p39,0.022624527540956105,0.016080054211210757
p4,0.023634094692482125,0.021203060024680108
p40,0.022711020690167758,0.01613000279673476
p41,0.022432228985626534,0.01597174063276503
p42,0.026496924329393046,0.02175506032971299
p43,0.026490061415163548,0.021762135860682867
p44,0.025211239528612896,0.01984441942362662
p45,0.022731273804915783,0.016158964969528164
p46,0.026484221033909492,0.0217361863589714
p47,0.018648382305472125,0.015475318792406243
p48,0.02274899850686461,0.016257501384395474
p49,0.021304555362632392,0.015618544795208012
p5,0.01148961476743762,0.010506645823567608
p50,0.019620833127926045,0.016134048082307558
p51,0.019590865842083062,0.0161453016807685
p52,0.01969314760376681,0.016130039294350664
p53,0.019659430011694443,0.016128983877386566
p54,0.013375824937500792,0.011963788440812542
p55,0.0078098148225536485,0.008319490720114961
p56,0.014739432828454203,0.013853197110890322
p57,0.019771889880378125,0.016255469414976208
p58,0.022375099357143706,0.016043885688171215
p59,0.016587429468399556,0.016130040364616294
p6,0.004861968335338163,0.0026837165861223387
p60,0.029541432608482913,0.03637442032485288
p61,0.0292913697821347,0.03563801312350514
p62,0.029594539169610048,0.03643723353830847
p63,0.026596177260716437,0.023631539419060224
p64,0.026403529390839852,0.022112544911126623
p65,0.026457898612888636,0.021721607579793252
p66,0.022826322508866542,0.016495072877988872
p67,0.019607616785619498,0.01578804289965715
p68,0.02432336475570888,0.018524958485378825
p69,0.022898718464384578,0.016407803494472215
p7,0.011518326231028166,0.009806814591651091
p70,0.02214466197740237,0.015830445348222057
p71,-0.0007193147239496924,0.002708207408726509
p72,0.014374469114083679,0.01263186969870432
p73,0.01005899372940747,0.009824481044805284
p74,0.023060186117579942,0.01664775433051236
p75,0.02285671559114933,0.016342232101806266
p76,0.023075185541888192,0.016549870776983708
p77,0.025245307728844563,0.019895051038473274
p78,0.022681978644882732,0.016138036009293245
p79,0.022319630242742607,0.015897353259209244
