from_zone,to_zone,from_transreg,to_transreg,transreg,line_type,region,project_name,existing_cap_mw,new_cap_mw,new_cap_year,total_cap_mw,trans_length_km,trans_efficiency
p24,p33,WestConnect,WestConnect,WestConnect,Existing,WestConnect,Reconductor Laramie River – Dave Johnston 230kV Line (WestTEC 10-Yr Horizon),3320.0,986.0,2035.0,4306.0,129.457577,0.955114167
p25,p28,NorthernGrid,WestConnect,NorthernGrid / WestConnect,Existing,Cross-Region,,142.3,,,142.3,923.4794013,0.947141653
p25,p31,NorthernGrid,WestConnect,NorthernGrid / WestConnect,Existing,Cross-Region,,299.1,,,299.1,894.3895885,0.94873239
p25,p33,NorthernGrid,WestConnect,NorthernGrid / WestConnect,Existing,Cross-Region,,0.0,,,0.0,814.2780152,0.953365866
p25,p26,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,1237.0,,,1237.0,79.84786744,0.972257492
p26,p33,NorthernGrid,WestConnect,NorthernGrid / WestConnect,Existing,Cross-Region,,239.2,,,239.2,804.2477991,0.953933838
p27,p28,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,799.0,,,799.0,268.0860353,0.979952974
p28,p29,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,5047.0,,,5047.0,485.5509389,0.972179556
p28,p30,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,4209.0,,,4209.0,149.335154,0.948335658
p29,p30,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,639.0,,,639.0,490.6773859,0.971869411
p29,p31,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,3602.0,,,3602.0,255.7090344,0.980886566
p3,p14,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,8360.0,,,8360.0,30.53616413,0.989399329
p3,p17,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,New Townsend – Ashe 500kV Line (WestTEC 10-Yr Horizon),2843.0,3845.0,2035.0,6688.0,353.9754011,0.973370625
p3,p4,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,9721.0,,,9721.0,264.2793766,0.980243383
p3,p5,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,762.0,,,762.0,520.4529926,0.970189299
p31,p47,WestConnect,SPP,WestConnect / SPP,Existing,Cross-Region,,200.0,,,200.0,303.7812792,0.977303886
p31,p48,WestConnect,SPP,WestConnect / SPP,Existing,Cross-Region,,200.0,,,200.0,483.5185069,0.972381747
p31,p34,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,690.0,,,690.0,553.2892781,0.968337714
p31,p59,WestConnect,WestConnect,WestConnect,Existing,WestConnect,Reconductor Amrad – Chavez 345kV Line; Reconductor Otero – Picante 345kV Line (WestTEC 10-Yr Horizon),2859.0,2830.0,2035.0,5689.0,385.5529469,0.971223444
p32,p38,WestConnect,SPP,WestConnect / SPP,Existing,Cross-Region,,200.0,,,200.0,574.9789123,0.967135924
p33,p34,WestConnect,WestConnect,WestConnect,Existing,WestConnect,,2735.0,,,2735.0,98.93760079,0.96557308
p34,p52,WestConnect,SPP,WestConnect / SPP,Existing,Cross-Region,,210.0,,,210.0,358.7597601,0.973234571
p35,p36,SPP,SPP,SPP,Existing,SPP,,609.5,,,609.5,433.0282518,0.96760385
p36,p37,SPP,MISO,SPP / MISO,Existing,Cross-Region,LRTP-01: Jamestown Ellendale,1127.7,1792.0,2028.0,2919.7,306.4730505,0.977103684
p36,p38,SPP,SPP,SPP,Existing,SPP,Multi - Belfield 345 kV - Maurine 345 kV,2054.0,1792.0,2035.0,3846.0,519.5214769,0.970273209
p37,p38,MISO,SPP,MISO / SPP,Cross-TransReg,Cross-Region,JTIQ Project,206.3,1792.0,2035.0,1998.3,369.5076624,0.972400288
p37,p42,MISO,MISO,MISO,Existing,MISO,,647.2,,,647.2,187.0507927,0.935060747
p37,p43,MISO,MISO,MISO,Existing,MISO,"LRTP-19: Bison - Alexandria | Brookings - Lyon, Hampton - Helena 2nd 345kV Circuits",3178.7,3584.0,2035.0,6762.7,336.9882054,0.974789376
p38,p44,SPP,MISO,SPP / MISO,Cross-TransReg,Cross-Region,JTIQ Project,1147.3,1792.0,2035.0,2939.3,131.5512734,0.954309795
p38,p43,SPP,MISO,SPP / MISO,Existing,Cross-Region,LRTP-02: Big Stone South Alexandria Big Oaks (Cassie’s Crossing),84.4,1792.0,2030.0,1876.4,297.0434291,0.977799832
p38,p45,SPP,MISO,SPP / MISO,Existing,Cross-Region,,1494.1,,,1494.1,114.7060823,0.960084688
p38,p39,SPP,SPP,SPP,Existing,SPP,,314.6,,,314.6,638.1655792,0.96356473
p38,p40,SPP,SPP,SPP,Existing,SPP,,733.8,,,733.8,333.7970561,0.975031493
p40,p45,SPP,MISO,SPP / MISO,Existing,Cross-Region,Line - Raun 345 kV - S3452 345 kV New Line (JTIQ),781.1,1792.0,2035.0,2573.1,251.2486249,0.981211108
p40,p41,SPP,SPP,SPP,Existing,SPP,,1733.6,,,1733.6,178.8701627,0.938082926
p40,p52,SPP,SPP,SPP,Existing,SPP,,622.1,,,622.1,431.8312364,0.967697932
p40,p53,SPP,SPP,SPP,Existing,SPP,,0.0,,,0.0,381.0604423,0.971547611
p41,p45,SPP,MISO,SPP / MISO,Cross-TransReg,Cross-Region,JTIQ Project,2798.1,1792.0,2035.0,4590.1,128.9737616,0.955265053
p41,p70,SPP,MISO,SPP / MISO,Existing,Cross-Region,,819.4,,,819.4,333.7771906,0.966393045
p41,p54,SPP,SPP,SPP,Existing,SPP,,1923.0,,,1923.0,261.8982482,0.98042169
p42,p43,MISO,MISO,MISO,Existing,MISO,,2296.6,,,2296.6,325.6201077,0.975544886
p43,p46,MISO,MISO,MISO,Existing,MISO,,1555.0,,,1555.0,116.0741117,0.959600257
p43,p68,MISO,MISO,MISO,Existing,MISO,LRTP-24: Lakefield Junction - Pleasant Valley - North Rochester,1959.9,5500.0,2035.0,7459.9,78.224822,0.972798712
p44,p45,MISO,MISO,MISO,Existing,MISO,,64.6,,,64.6,252.7459319,0.981111141
p44,p68,MISO,MISO,MISO,Existing,MISO,JTIQ Lyon Co - Lakefield Junction,202.8,1792.0,2035.0,1994.8,144.9415679,0.949758843
p45,p70,MISO,MISO,MISO,Planned Intra-Region,MISO,LRTP-39: Lehigh - Marshalltown - Franklin North & Montezuma,2277.9,1792.0,2035.0,4069.9,252.1569396,0.981167796
p45,p54,MISO,SPP,MISO / SPP,Existing,Cross-Region,,429.2,,,429.2,418.6229311,0.968633699
p45,p68,MISO,MISO,MISO,Existing,MISO,,362.4,,,362.4,258.2695549,0.980702655
p45,p69,MISO,MISO,MISO,Existing,MISO,,188.4,,,188.4,332.4741742,0.975154097
p46,p68,MISO,MISO,MISO,Existing,MISO,LRTP-04: Wilmarth North Rochester Tremval,66.6,1792.0,2028.0,1858.6,252.7187105,0.981064458
p46,p74,MISO,MISO,MISO,Existing,MISO,,10.6,,,10.6,546.8990842,0.968636195
p46,p75,MISO,MISO,MISO,Existing,MISO,,154.2,,,154.2,313.0357849,0.976531006
p46,p76,MISO,MISO,MISO,Existing,MISO,LRTP-06: Tremval Rocky Run Columbia,241.6,1792.0,2030.0,2033.6,280.3773544,0.979002714
p46,p77,MISO,MISO,MISO,Existing,MISO,,224.5,,,224.5,137.5392552,0.951981124
p46,p78,MISO,MISO,MISO,Existing,MISO,,0.0,,,0.0,274.4395229,0.979405143
p47,p48,SPP,SPP,SPP,Existing,SPP,Line - Potter 765 kV - Crossroads 765 kV - Phantom 765 kV,2843.7,5300.0,2035.0,8143.7,252.3751206,0.981165544
p48,p49,SPP,SPP,SPP,Existing,SPP,,1115.1,,,1115.1,353.6961588,0.973612462
