region,year,dc_avg_added_mw,dc_peak_added_mw,nondc_avg_added_mw,nondc_peak_added_mw,dc_minus_nondc_avg_mw,dc_avg_share_of_total
p31,2029,367.4778442318102,367.4778442318102,199.30277932819035,328.2590615825702,168.17506490361984,0.6483599279094061
p31,2030,434.21160025942027,434.21160025942027,234.16482330729013,385.6781396305796,200.04677695213013,0.6496512817467472
p31,2031,470.6705250240102,470.6705250240102,283.7349669605401,467.3220027667303,186.93555806347013,0.6238959419368189
p31,2032,507.61681622176,507.61681622176,334.27734480732033,550.5671716402503,173.33947141443969,0.6029461180741295
p31,2033,545.0569887469501,545.0569887469501,385.81102557042004,635.4450531440198,159.24596317653004,0.5855362740620695
p31,2034,582.9976445820002,582.9976445820002,438.35545197322017,721.9876701638104,144.64219260878008,0.5708091026975017
p31,2035,621.4454739616704,621.4454739616704,491.93044807513024,810.2276736598997,129.51502588654012,0.5581632058512664
p31,2036,660.4072565527604,660.4072565527604,546.5562267507803,900.1983549857196,113.85102980198008,0.54716423958841
p31,2037,699.8898626495802,699.8898626495802,602.2533973160603,991.9336584480598,97.63646533351994,0.5374906772301291
p31,2038,739.9002543854303,739.9002543854303,659.0429733035503,1085.4681941136696,80.85728108188005,0.5288994147444619
p31,2039,780.44548696026,780.44548696026,716.9463803906401,1180.83725086697,63.499106569619926,0.5212032360914177
p31,2040,821.5327098847501,821.5327098847501,775.9854644829402,1278.0768097238997,45.54724540180996,0.5142556266753704
p31,2041,853.2166656795903,853.2166656795903,818.1054529494004,1347.4499912443698,35.11121273018989,0.5105040232337116
p31,2042,885.22291885394,885.22291885394,860.8034737021203,1417.7752133559898,24.419445151819673,0.5069928625523442
p31,2043,917.5547478999702,917.5547478999702,904.0874593482904,1489.0655413567301,13.467288551679758,0.503696469179868
p31,2044,950.21546465953,950.21546465953,947.9654513580003,1561.3342198457503,2.250013301529634,0.5005926761992345
p31,2045,983.2084146633401,983.2084146633401,992.44560155819,1634.5946751840102,-9.237186894849856,0.4976622458135367
p31,2046,1016.5369774737601,1016.5369774737601,1037.53617364711,1708.86051798873,-20.9991961733499,0.4948884010869109
p31,2047,1050.2045670309303,1050.2045670309303,1083.2455447296302,1784.1455456619597,-33.04097769869986,0.4922564447332134
p31,2048,1084.2146320024303,1084.2146320024303,1129.5822068735101,1860.4637449539696,-45.367574871079796,0.48975344664099457
p31,2049,1118.57065613663,1118.57065613663,1176.55476868717,1937.8292945617304,-57.984112550539976,0.4873679860971015
p31,2050,1153.2761586194501,1153.2761586194501,1224.1719569189504,2016.2565677631,-70.89579829950026,0.4850899378547647
p32,2023,0.0,0.0,0.0,0.0,0.0,
p32,2024,0.5497995731849983,0.5497995731849983,2.473925944880989,4.01518847901599,-1.9241263716959907,0.1818285323519236
p32,2025,1.1010994538870023,1.1010994538870023,4.978228889614002,8.079678910698988,-3.8771294357269994,0.18112189236564474
p32,2026,1.6539037361849864,1.6539037361849864,7.513281829244988,12.194076667011984,-5.859378093060002,0.18041564931574636
p32,2027,2.2082165253299877,2.2082165253299877,10.079462338774988,16.358994553201,-7.871245813445,0.1797098174318891
