scenario_id,zone,state,variant,siting,soft_cap_mw,cfe_target,grid_draw_MWh_yr,grid_draw_MW_mean,onsite_MWh_yr,grid_fraction_pct,onsite_build_MW,storage_power_MW,storage_energy_MWh,annual_cap_excess_MWh,hours_above_grid_cap,grid_cap_penalty_per_yr,cfe_shortfall_MWh,cfe_shortfall_penalty_per_yr,annual_co2_tonne,co2_lb_kg_per_MWh,scope1_co2_tonne,mb_uncovered_grid_MWh,annual_co2_mb_tonne,co2_mb_kg_per_MWh,system_co2_tonne,total_system_cost,gas_cc_MW,gas_ct_MW,nuclear_MW,wind_MW,solar_MW,consequential_co2_tonne,co2_consequential_kg_per_MWh
p33_FLEX_MC_CFE100,p33,CO,FLEX_MC_CFE100,flex,900.0,1.0,825244,94.2,7934756,9.4,2738.4,1119.1,586.1,0.0,3.4,2,0.0,0,1023976,116.9,854304,0,854304,97.5,1017350377,804213335526.7931,486.9,0.0,0,2230.2,21.2,-169184,-19.3
p48_BASE,p48,TX,BASE,fixed,,,4374620,499.4,4385380,49.9,1229.1,0.0,0.0,0.0,0.0,0,0.0,0,362179,41.3,0,0,0,0.0,1019999438,803449620840.766,0.0,0.0,0,1229.1,0.0,2479877,283.1
p48_SC,p48,TX,SC,fixed,250.0,,1146890,130.9,7613110,13.1,2319.3,181.9,627.4,0.0,3.4,2,0.0,0,478634,54.6,404895,0,404895,46.2,1018493255,803616876771.4474,244.3,0.0,0,1376.5,698.5,973694,111.2
p48_MC,p48,TX,MC,fixed,900.0,,4374540,499.4,4385460,49.9,1229.1,0.0,0.0,0.0,3.4,1,0.0,0,362169,41.3,0,0,0,0.0,1019998276,803449605294.7511,0.0,0.0,0,1229.1,0.0,2478715,283.0
p48_SC_CURT,p48,TX,SC_CURT,fixed,250.0,,1146890,130.9,7613110,13.1,2319.3,181.9,627.4,0.0,3.4,1,0.0,0,478641,54.6,404895,0,404895,46.2,1018491109,803616864842.176,244.3,0.0,0,1376.5,698.5,971548,110.9
p48_MC_CURT,p48,TX,MC_CURT,fixed,900.0,,4213800,481.0,4546200,48.1,1289.6,0.0,0.0,0.0,3.4,2,0.0,0,347041,39.6,0,0,0,0.0,1019923699,803451063570.3817,0.0,0.0,0,1258.2,31.5,2404138,274.4
p48_FLEX_SC,p48,TX,FLEX_SC,flex,250.0,,0,0.0,8760000,0.0,2019.0,92.2,286.1,0.0,3.4,2,0.0,0,1272480,145.3,1272480,0,1272480,145.3,1017519133,803819404199.1083,779.3,0.0,0,1048.0,191.8,-428,-0.0
p48_FLEX_MC,p48,TX,FLEX_MC,flex,900.0,,0,0.0,8760000,0.0,2019.0,92.2,286.1,0.0,3.4,2,0.0,0,1272480,145.3,1272480,0,1272480,145.3,1017518991,803819415339.2773,779.3,0.0,0,1048.0,191.8,-570,-0.1
p48_SC_CFE75,p48,TX,SC_CFE75,fixed,250.0,0.75,1146890,130.9,7613110,13.1,2319.3,181.9,627.4,0.0,3.4,2,0.0,0,478637,54.6,404895,0,404895,46.2,1018498483,803616906006.7563,244.3,0.0,0,1376.5,698.5,978922,111.7
p48_SC_CFE100,p48,TX,SC_CFE100,fixed,250.0,1.0,1121720,128.1,7638280,12.8,2540.9,247.4,989.5,0.0,3.4,2,1211.0,605520,288252,32.9,225747,0,225747,25.8,1018372823,803630878744.552,148.0,0.0,0,1506.9,886.0,853262,97.4
p48_MC_CFE75,p48,TX,MC_CFE75,fixed,900.0,0.75,4374540,499.4,4385460,49.9,1229.1,0.0,0.0,0.0,3.4,2,0.0,0,362170,41.3,0,0,0,0.0,1019999427,803449652314.8284,0.0,0.0,0,1229.1,0.0,2479866,283.1
p48_MC_CFE100,p48,TX,MC_CFE100,fixed,900.0,1.0,4289680,489.7,4470320,49.0,1286.5,146.5,185.1,0.0,3.4,2,2632.4,1316190,345342,39.4,0,0,0,0.0,1019932257,803470664198.3674,0.0,0.0,0,1286.5,0.0,2412696,275.4
p48_FLEX_SC_CFE100,p48,TX,FLEX_SC_CFE100,flex,250.0,1.0,0,0.0,8760000,0.0,2310.1,1000.1,321.8,0.0,3.4,3,0.0,0,1149989,131.3,1149989,0,1149989,131.3,1017520521,803921252247.1052,677.6,52.3,0,1237.0,343.1,960,0.1
p48_FLEX_MC_CFE100,p48,TX,FLEX_MC_CFE100,flex,900.0,1.0,0,0.0,8760000,0.0,2310.1,1000.1,321.8,0.0,3.4,2,3.7,1825,1149989,131.3,1149989,0,1149989,131.3,1017520339,803921228984.1321,677.6,52.3,0,1237.0,343.1,778,0.1
p94_BASE,p94,GA,BASE,fixed,,,8759980,1000.0,20,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1682249,192.0,7,8759978,1682249,192.0,1023348823,803893828035.7318,0.0,0.0,0,0.0,0.0,5829262,665.4
p94_SC,p94,GA,SC,fixed,250.0,,1314720,150.1,7445280,15.0,893.7,0.0,0.0,0.0,3.4,2,0.0,0,2611753,298.1,2382491,1314718,2611753,298.1,1018363229,803905661220.1595,893.7,0.0,0,0.0,0.0,843668,96.3
p94_MC,p94,GA,MC,fixed,900.0,,7767290,886.7,992710,88.7,119.2,0.0,0.0,0.0,3.4,2,0.0,0,1805154,206.1,317667,7767288,1805154,206.1,1022841299,803895268743.5616,119.2,0.0,0,0.0,0.0,5321738,607.5
p94_SC_CURT,p94,GA,SC_CURT,fixed,250.0,,1314720,150.1,7445280,15.0,893.7,0.0,0.0,0.0,3.4,2,0.0,0,2611753,298.1,2382490,1314718,2611753,298.1,1018361067,803905685728.732,893.7,0.0,0,0.0,0.0,841506,96.1
p94_MC_CURT,p94,GA,MC_CURT,fixed,900.0,,7093800,809.8,1666200,81.0,200.0,0.0,0.0,0.0,3.4,2,0.0,0,1891224,215.9,533184,7093798,1891224,215.9,1022674611,803896263170.9417,200.0,0.0,0,0.0,0.0,5155050,588.5
p94_FLEX_SC,p94,GA,FLEX_SC,flex,250.0,,1314720,150.1,7445280,15.0,893.7,0.0,0.0,0.0,3.4,2,0.0,0,2611756,298.1,2382491,1314718,2611756,298.1,1018362256,803905688728.8624,893.7,0.0,0,0.0,0.0,842695,96.2
p94_FLEX_MC,p94,GA,FLEX_MC,flex,900.0,,7767290,886.7,992710,88.7,119.2,0.0,0.0,0.0,3.4,2,0.0,0,1805167,206.1,317666,7767289,1805167,206.1,1022840745,803895223011.69,119.2,0.0,0,0.0,0.0,5321184,607.4
p94_SC_CFE75,p94,GA,SC_CFE75,fixed,250.0,0.75,1513560,172.8,7246440,17.3,2701.2,510.1,463.7,0.0,3.4,2,1943.9,971965,1107845,126.5,829208,0,829208,94.7,1019317852,804257241038.96,434.7,0.0,0,1592.0,674.5,1798291,205.3
p94_SC_CFE100,p94,GA,SC_CFE100,fixed,250.0,1.0,1549270,176.9,7210730,17.7,3016.6,1249.9,632.2,0.0,1.7,1,2399.8,1199920,1001251,114.3,713946,0,713946,81.5,1020286260,801968135129.3943,382.6,0.0,0,1810.3,823.7,2766699,315.8
p94_MC_CFE75,p94,GA,MC_CFE75,fixed,900.0,0.75,6358670,725.9,2401330,72.6,1208.3,422.6,84.0,0.0,3.4,2,32718.8,16359420,1200779,137.1,0,3677236,694414,79.3,1022737986,804101318165.3746,0.0,0.0,0,1027.9,180.4,5218425,595.7
p94_MC_CFE100,p94,GA,MC_CFE100,fixed,900.0,1.0,5917720,675.5,2842280,67.6,1642.8,1097.5,224.3,0.0,0.0,1,38895.3,19447645,1118396,127.7,0,2301257,434917,49.6,1022699599,804252795905.9083,0.0,0.0,0,1254.5,388.2,5180038,591.3
p94_FLEX_SC_CFE100,p94,GA,FLEX_SC_CFE100,flex,250.0,1.0,1549270,176.9,7210730,17.7,3016.6,1249.9,632.2,0.0,3.4,2,2343.9,1171930,1001242,114.3,713946,0,713946,81.5,1019353500,804410612531.0155,382.6,0.0,0,1810.3,823.7,1833939,209.4
p94_FLEX_MC_CFE100,p94,GA,FLEX_MC_CFE100,flex,900.0,1.0,5917720,675.5,2842280,67.6,1642.8,1097.5,224.3,0.0,3.4,1,38890.1,19445025,1118407,127.7,0,2301257,434922,49.6,1022700631,804252836859.2781,0.0,0.0,0,1254.5,388.2,5181070,591.4
