timepoint_id,tp_to_hts
20356040618,2035_p1921
20356040619,2035_p1921
20356040620,2035_p1921
20356040621,2035_p1921
20356040622,2035_p1921
20356040623,2035_p1921
20355072100,2035_p1662
20355072101,2035_p1662
20355072102,2035_p1662
20355072103,2035_p1662
20355072104,2035_p1662
20355072105,2035_p1662
20355072106,2035_p1662
20355072107,2035_p1662
20355072108,2035_p1662
20355072109,2035_p1662
20355072110,2035_p1662
20355072111,2035_p1662
20355072112,2035_p1662
20355072113,2035_p1662
20355072114,2035_p1662
20355072115,2035_p1662
20355072116,2035_p1662
20355072117,2035_p1662
20355072118,2035_p1662
20355072119,2035_p1662
20355072120,2035_p1662
20355072121,2035_p1662
20355072122,2035_p1662
20355072123,2035_p1662
