GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
p10_natural_gas_fired_combined_cycle_1,1990.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,1993.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,1995.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,1996.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2001.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2003.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2005.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2007.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2012.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2013.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2015.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2016.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_1,2025.0,0,19989,.,.
p10_natural_gas_fired_combined_cycle_2,2001.0,0,12651,.,.
p10_natural_gas_fired_combined_cycle_2,2003.0,0,12651,.,.
p10_natural_gas_fired_combined_cycle_2,2005.0,0,12651,.,.
p10_natural_gas_fired_combined_cycle_2,2006.0,0,12651,.,.
p10_natural_gas_fired_combined_cycle_2,2013.0,0,12651,.,.
p10_natural_gas_fired_combined_cycle_2,2020.0,0,12651,.,.
p10_natural_gas_fired_combustion_turbine_1,1973.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1974.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1976.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1979.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1982.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1984.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1985.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1986.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1987.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1988.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1989.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1990.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1991.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1992.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1994.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,1995.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2000.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2001.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2002.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2003.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2004.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2006.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2007.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2008.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2010.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2011.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2012.0,0,13086,.,.
