timestamp,time_row,timeseries,time_column
20355072107,20355072107,2035_p1662,2012p1662
20355072107_prm,20355072107,2035_p1662_prm,2012p1662
20355072108,20355072108,2035_p1662,2012p1662
20355072108_prm,20355072108,2035_p1662_prm,2012p1662
20355072109,20355072109,2035_p1662,2012p1662
20355072109_prm,20355072109,2035_p1662_prm,2012p1662
20355072110,20355072110,2035_p1662,2012p1662
20355072110_prm,20355072110,2035_p1662_prm,2012p1662
20355072111,20355072111,2035_p1662,2012p1662
20355072111_prm,20355072111,2035_p1662_prm,2012p1662
20355072112,20355072112,2035_p1662,2012p1662
20355072112_prm,20355072112,2035_p1662_prm,2012p1662
20355072113,20355072113,2035_p1662,2012p1662
20355072113_prm,20355072113,2035_p1662_prm,2012p1662
20355072114,20355072114,2035_p1662,2012p1662
20355072114_prm,20355072114,2035_p1662_prm,2012p1662
20355072115,20355072115,2035_p1662,2012p1662
20355072115_prm,20355072115,2035_p1662_prm,2012p1662
20355072116,20355072116,2035_p1662,2012p1662
20355072116_prm,20355072116,2035_p1662_prm,2012p1662
20355072117,20355072117,2035_p1662,2012p1662
20355072117_prm,20355072117,2035_p1662_prm,2012p1662
20355072118,20355072118,2035_p1662,2012p1662
20355072118_prm,20355072118,2035_p1662_prm,2012p1662
20355072119,20355072119,2035_p1662,2012p1662
20355072119_prm,20355072119,2035_p1662_prm,2012p1662
20355072120,20355072120,2035_p1662,2012p1662
20355072120_prm,20355072120,2035_p1662_prm,2012p1662
20355072121,20355072121,2035_p1662,2012p1662
20355072121_prm,20355072121,2035_p1662_prm,2012p1662
20355072122,20355072122,2035_p1662,2012p1662
20355072122_prm,20355072122,2035_p1662_prm,2012p1662
20355072123,20355072123,2035_p1662,2012p1662
20355072123_prm,20355072123,2035_p1662_prm,2012p1662
