LOAD_ZONE,PERIOD,dr_annual_cost
p34,2035,3573299.9999999995
p35,2028,148809.4773088089
p35,2030,154799.99999999997
p35,2035,162540.0
p36,2028,2147850.0
p36,2030,2390370.0
p36,2035,2488410.0
p37,2028,4478880.0
p37,2030,4478880.0
p37,2035,4677540.0
p38,2028,2850900.0
p38,2030,2872830.0
p38,2035,2996670.0
p39,2028,580500.0
p39,2030,584370.0
p39,2035,608880.0
p4,2028,884176.3110098417
p4,2030,839498.2795722937
p4,2035,912339.2134092357
p40,2028,3448170.0
p40,2030,3524279.9999999995
p40,2035,3670049.9999999995
p41,2028,6351960.0
p41,2030,6920849.999999999
p41,2035,7208519.999999999
p42,2028,1328124.5849811207
p42,2030,1482200.2265445553
p42,2035,1514733.0502082105
p43,2028,14095830.0
p43,2030,14364150.0
p43,2035,15024629.999999998
p44,2028,405060.0
p44,2030,405060.0
p44,2035,423120.0
p45,2028,3332070.0
p45,2030,3334650.0
p45,2035,3483000.0
p46,2028,2444550.0
p46,2030,2546460.0
p46,2035,2665140.0
p47,2028,1911780.0
p47,2030,1911780.0
p47,2035,1986599.9999999998
p48,2028,6628019.999999999
p48,2030,6628019.999999999
p48,2035,6927529.123188208
p49,2028,219299.99999999997
p49,2030,219299.99999999997
p49,2035,228329.99999999997
p5,2028,9500245.047189891
p5,2030,10258080.0
p5,2035,11029306.244296575
p50,2028,14093250.0
p50,2030,15329070.0
p50,2035,16029539.999999998
p51,2028,7392990.0
p51,2030,7843200.0
p51,2035,8201819.999999999
p52,2028,457950.0
p52,2030,457950.0
p52,2035,477300.0
p53,2028,10887600.0
p53,2030,10887600.0
p53,2035,11366190.0
p54,2028,5725019.999999999
p54,2030,5725019.999999999
p54,2035,5973990.0
p55,2028,3027630.0
p55,2030,3163080.0
p55,2035,3301110.0
p56,2028,4431150.0
p56,2030,4903290.0
p56,2035,5134200.0
p57,2028,2663850.0
p57,2030,2902500.0
p57,2035,3032790.0
p58,2028,20699340.0
p58,2030,22329899.999999996
p58,2035,23189040.0
p59,2028,2901210.0
p59,2030,3473969.9999999995
p59,2035,3796469.9999999995
p6,2028,2108134.261874792
p6,2030,2019030.7287636332
p6,2035,2170867.416016222
p60,2028,1057800.0
p60,2030,1057800.0
p60,2035,1102950.0
p61,2028,2346510.0
p61,2030,2346510.0
p61,2035,2447130.0
p62,2028,2017560.0
p62,2030,2017560.0
p62,2035,2103990.0
p63,2028,41744400.0
p63,2030,44089620.0
p63,2035,45983339.99999999
p64,2028,13657230.0
p64,2030,14957549.999999998
p64,2035,15599969.999999998
p65,2028,20554860.0
p65,2030,22464060.0
p65,2035,23428980.0
p66,2028,6625439.999999999
p66,2030,6656399.999999999
p66,2035,6906660.0
p67,2028,29826090.0
p67,2030,32519610.0
p67,2035,33916680.0
