GENERATION_PROJECT,PERIOD,gen_fixed_om_by_period,gen_variable_om_by_period,gen_storage_energy_fixed_om_by_period
p1_offshorewind_class3_moderate_fixed_0_1,2028,2759.66666666667,.,.
p1_offshorewind_class3_moderate_fixed_0_2,2028,2759.66666666667,.,.
p2_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p2_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p2_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p2_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p2_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p2_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p2_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p3_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p3_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p3_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p3_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p3_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p3_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p3_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p4_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p4_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p4_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p4_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p4_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p4_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p4_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p5_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p5_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p5_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p5_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p5_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p5_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p5_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p5_offshorewind_class3_moderate_fixed_1_1,2028,2759.66666666667,.,.
