GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
p101_other_peaker_1,2020,18.5,.
p101_other_peaker_1,2023,2.6,.
p101_other_peaker_1,2024,60,.
p101_other_peaker_1,2025,135.2,.
p101_petroleum_liquids_1,1970,5,.
p101_petroleum_liquids_1,1972,101,.
p101_petroleum_liquids_1,1973,192.5,.
p101_petroleum_liquids_1,1974,609.2,.
p101_petroleum_liquids_1,1975,240.2,.
p101_petroleum_liquids_1,1976,175,.
p101_petroleum_liquids_1,1978,19,.
p101_petroleum_liquids_1,1980,64,.
p101_petroleum_liquids_1,1989,4,.
p101_petroleum_liquids_1,1991,15,.
p101_petroleum_liquids_1,1992,88,.
p101_petroleum_liquids_1,1997,161,.
p101_petroleum_liquids_1,1998,3.9,.
p101_petroleum_liquids_1,1999,34,.
p101_petroleum_liquids_1,2001,77.5,.
p101_petroleum_liquids_1,2005,0.2,.
p101_petroleum_liquids_1,2006,44,.
p101_petroleum_liquids_1,2012,2.5,.
p101_petroleum_liquids_1,2020,1.4,.
p101_petroleum_liquids_1,2025,1,.
p101_solar_photovoltaic_1,2009,25,.
p101_solar_photovoltaic_1,2010,13.7,.
p101_solar_photovoltaic_1,2011,8.7,.
p101_solar_photovoltaic_1,2012,3.9,.
p101_solar_photovoltaic_1,2013,2,.
p101_solar_photovoltaic_1,2015,9.5,.
p101_solar_photovoltaic_1,2016,244,.
p101_solar_photovoltaic_1,2017,75.9,.
p101_solar_photovoltaic_1,2018,581.1,.
p101_solar_photovoltaic_1,2019,593.9,.
p101_solar_photovoltaic_1,2020,1416.2,.
p101_solar_photovoltaic_1,2021,510.7,.
p101_solar_photovoltaic_1,2022,815,.
p101_solar_photovoltaic_1,2023,831.5,.
p101_solar_photovoltaic_1,2024,2036.1,.
p101_solar_photovoltaic_1,2025,969.8,.
p101_solar_photovoltaic_1,2026,596.8,.
p101_solar_photovoltaic_1,2027,670.5,.
p101_waste_heat_1,1980,3.46989976175993,.
p101_waste_heat_1,1982,15.9863996506332,.
p101_waste_heat_1,1984,23.9795994759498,.
p101_waste_heat_1,1985,14.4125285127737,.
p101_waste_heat_1,1988,6.06231893917734,.
p101_waste_heat_1,1992,36.1361594800914,.
p101_waste_heat_1,1999,5.92133477780113,.
p101_waste_heat_1,2014,11.9897997379749,.
p102_batteries_1,2019,10,40
p102_biomass_1,1989,22.8341375745858,.
p102_biomass_1,1991,48.5945990470397,.
p102_biomass_1,1996,1.76541806705127,.
p102_biomass_1,2000,1.01624006126173,.
p102_biomass_1,2006,0.70711004020745,.
p102_biomass_1,2008,3.46222294654498,.
p102_biomass_1,2013,0.2309724756691,.
p102_biomass_1,2015,29.5608716038118,.
p102_natural_gas_fired_combined_cycle_1,1994,1066,.
p102_natural_gas_fired_combined_cycle_1,2001,414,.
p102_natural_gas_fired_combined_cycle_1,2005,857,.
p102_natural_gas_fired_combined_cycle_1,2007,1288,.
p102_natural_gas_fired_combined_cycle_1,2009,2738,.
p102_natural_gas_fired_combined_cycle_1,2011,1369,.
p102_natural_gas_fired_combined_cycle_1,2013,1393,.
p102_natural_gas_fired_combined_cycle_1,2014,1393,.
p102_natural_gas_fired_combined_cycle_1,2016,1338,.
p102_natural_gas_fired_combined_cycle_1,2022,1234,.
p102_natural_gas_fired_combined_cycle_2,1978,33,.
p102_natural_gas_fired_combined_cycle_2,2008,352.1,.
p102_natural_gas_fired_combustion_turbine_1,1970,74.4,.
p102_natural_gas_fired_combustion_turbine_1,1989,73.8,.
p102_natural_gas_fired_combustion_turbine_1,1992,222.8,.
p102_natural_gas_fired_combustion_turbine_1,2002,720,.
p102_natural_gas_fired_combustion_turbine_1,2007,180,.
p102_natural_gas_fired_combustion_turbine_1,2016,1110,.
p102_nuclear_1,1972,859,.
p102_nuclear_1,1973,888,.
p102_nuclear_1,1976,1003,.
p102_nuclear_1,1983,987,.
p102_other_peaker_1,1967,26.5,.
p102_other_peaker_1,1970,1.8,.
p102_other_peaker_1,1972,9,.
p102_other_peaker_1,1975,8,.
p102_other_peaker_1,1981,12,.
p102_other_peaker_1,2014,8,.
p102_petroleum_liquids_1,1965,10,.
p102_petroleum_liquids_1,1970,1.8,.
p102_petroleum_liquids_1,1976,31,.
p102_petroleum_liquids_1,2013,0.1,.
p102_solar_photovoltaic_1,2010,10,.
p102_solar_photovoltaic_1,2015,1,.
p102_solar_photovoltaic_1,2016,1.9,.
p102_solar_photovoltaic_1,2018,298,.
p102_solar_photovoltaic_1,2019,149,.
p102_solar_photovoltaic_1,2020,149,.
p102_solar_photovoltaic_1,2021,521.5,.
