GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p35_landbasedwind_class3_moderate_1,2030,27.5
p35_landbasedwind_class3_moderate_2,2030,27.5
p35_utilitypv_class1_moderate_1,2030,27.5
p35_utilitypv_class1_moderate_2,2030,27.5
p36_landbasedwind_class3_moderate_1,2030,27.5
p36_landbasedwind_class3_moderate_2,2030,27.5
p36_utilitypv_class1_moderate_1,2030,27.5
p36_utilitypv_class1_moderate_2,2030,27.5
p37_landbasedwind_class3_moderate_1,2030,27.5
p37_landbasedwind_class3_moderate_2,2030,27.5
p37_utilitypv_class1_moderate_1,2030,27.5
p37_utilitypv_class1_moderate_2,2030,27.5
p37_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p37_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p37_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p37_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p37_offshorewind_class12_moderate_floating_0_1,2030,27.5
p37_offshorewind_class12_moderate_floating_0_2,2030,27.5
p38_landbasedwind_class3_moderate_1,2030,27.5
p38_landbasedwind_class3_moderate_2,2030,27.5
p38_utilitypv_class1_moderate_1,2030,27.5
p38_utilitypv_class1_moderate_2,2030,27.5
p39_landbasedwind_class3_moderate_1,2030,27.5
p39_landbasedwind_class3_moderate_2,2030,27.5
p39_utilitypv_class1_moderate_1,2030,27.5
p39_utilitypv_class1_moderate_2,2030,27.5
p40_landbasedwind_class3_moderate_1,2030,27.5
p40_landbasedwind_class3_moderate_2,2030,27.5
p40_utilitypv_class1_moderate_1,2030,27.5
p40_utilitypv_class1_moderate_2,2030,27.5
p41_landbasedwind_class3_moderate_1,2030,27.5
p41_landbasedwind_class3_moderate_2,2030,27.5
p41_utilitypv_class1_moderate_1,2030,27.5
p41_utilitypv_class1_moderate_2,2030,27.5
p42_landbasedwind_class3_moderate_1,2030,27.5
p42_landbasedwind_class3_moderate_2,2030,27.5
p42_utilitypv_class1_moderate_1,2030,27.5
p42_utilitypv_class1_moderate_2,2030,27.5
p43_landbasedwind_class3_moderate_1,2030,27.5
p43_landbasedwind_class3_moderate_2,2030,27.5
p43_utilitypv_class1_moderate_1,2030,27.5
p43_utilitypv_class1_moderate_2,2030,27.5
p43_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p43_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p43_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p43_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p43_offshorewind_class12_moderate_floating_0_1,2030,27.5
p43_offshorewind_class12_moderate_floating_0_2,2030,27.5
p44_landbasedwind_class3_moderate_1,2030,27.5
p44_landbasedwind_class3_moderate_2,2030,27.5
p44_utilitypv_class1_moderate_1,2030,27.5
p44_utilitypv_class1_moderate_2,2030,27.5
p45_landbasedwind_class3_moderate_1,2030,27.5
p45_landbasedwind_class3_moderate_2,2030,27.5
p45_utilitypv_class1_moderate_1,2030,27.5
p45_utilitypv_class1_moderate_2,2030,27.5
p46_landbasedwind_class3_moderate_1,2030,27.5
p46_landbasedwind_class3_moderate_2,2030,27.5
p46_utilitypv_class1_moderate_1,2030,27.5
p46_utilitypv_class1_moderate_2,2030,27.5
p47_landbasedwind_class3_moderate_1,2030,27.5
p47_landbasedwind_class3_moderate_2,2030,27.5
p47_utilitypv_class1_moderate_1,2030,27.5
p47_utilitypv_class1_moderate_2,2030,27.5
p48_landbasedwind_class3_moderate_1,2030,27.5
p48_landbasedwind_class3_moderate_2,2030,27.5
p48_utilitypv_class1_moderate_1,2030,27.5
p48_utilitypv_class1_moderate_2,2030,27.5
p49_landbasedwind_class3_moderate_1,2030,27.5
p49_landbasedwind_class3_moderate_2,2030,27.5
p49_utilitypv_class1_moderate_1,2030,27.5
p49_utilitypv_class1_moderate_2,2030,27.5
p50_landbasedwind_class3_moderate_1,2030,27.5
p50_landbasedwind_class3_moderate_2,2030,27.5
p50_utilitypv_class1_moderate_1,2030,27.5
p50_utilitypv_class1_moderate_2,2030,27.5
p51_landbasedwind_class3_moderate_1,2030,27.5
p51_landbasedwind_class3_moderate_2,2030,27.5
p51_utilitypv_class1_moderate_1,2030,27.5
p51_utilitypv_class1_moderate_2,2030,27.5
p52_landbasedwind_class3_moderate_1,2030,27.5
p52_landbasedwind_class3_moderate_2,2030,27.5
p52_utilitypv_class1_moderate_1,2030,27.5
p52_utilitypv_class1_moderate_2,2030,27.5
p53_landbasedwind_class3_moderate_1,2030,27.5
p53_landbasedwind_class3_moderate_2,2030,27.5
p53_utilitypv_class1_moderate_1,2030,27.5
p53_utilitypv_class1_moderate_2,2030,27.5
p54_landbasedwind_class3_moderate_1,2030,27.5
p54_landbasedwind_class3_moderate_2,2030,27.5
p54_utilitypv_class1_moderate_1,2030,27.5
p54_utilitypv_class1_moderate_2,2030,27.5
p55_landbasedwind_class3_moderate_1,2030,27.5
p55_landbasedwind_class3_moderate_2,2030,27.5
p55_utilitypv_class1_moderate_1,2030,27.5
p55_utilitypv_class1_moderate_2,2030,27.5
p56_landbasedwind_class3_moderate_1,2030,27.5
p56_landbasedwind_class3_moderate_2,2030,27.5
p56_utilitypv_class1_moderate_1,2030,27.5
p56_utilitypv_class1_moderate_2,2030,27.5
p57_landbasedwind_class3_moderate_1,2030,27.5
p57_landbasedwind_class3_moderate_2,2030,27.5
p57_utilitypv_class1_moderate_1,2030,27.5
p57_utilitypv_class1_moderate_2,2030,27.5
p58_landbasedwind_class3_moderate_1,2030,27.5
p58_landbasedwind_class3_moderate_2,2030,27.5
p58_utilitypv_class1_moderate_1,2030,27.5
p58_utilitypv_class1_moderate_2,2030,27.5
p58_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p58_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p58_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p58_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p58_offshorewind_class12_moderate_floating_0_1,2030,27.5
p58_offshorewind_class12_moderate_floating_0_2,2030,27.5
p59_landbasedwind_class3_moderate_1,2030,27.5
p59_landbasedwind_class3_moderate_2,2030,27.5
p59_utilitypv_class1_moderate_1,2030,27.5
p59_utilitypv_class1_moderate_2,2030,27.5
p60_landbasedwind_class3_moderate_1,2030,27.5
p60_landbasedwind_class3_moderate_2,2030,27.5
p60_utilitypv_class1_moderate_1,2030,27.5
p60_utilitypv_class1_moderate_2,2030,27.5
p61_landbasedwind_class3_moderate_1,2030,27.5
p61_landbasedwind_class3_moderate_2,2030,27.5
p61_utilitypv_class1_moderate_1,2030,27.5
p61_utilitypv_class1_moderate_2,2030,27.5
p62_landbasedwind_class3_moderate_1,2030,27.5
p62_landbasedwind_class3_moderate_2,2030,27.5
p62_utilitypv_class1_moderate_1,2030,27.5
p62_utilitypv_class1_moderate_2,2030,27.5
