LOAD_ZONE,TIMEPOINT,ee_load_reduction
p16,20285081301,33.994025460805986
p17,20285081301,29.776314984756898
p18,20285081301,20.15128338556792
p19,20285081301,0.46863449733879
p20,20285081301,10.273910133965735
p21,20285081301,38.428028781780746
p22,20285081301,6.200394887867062
p23,20285081301,7.894688839784212
p24,20285081301,38.31988235931787
p25,20285081301,142.03230150114075
p26,20285081301,6.488785347767849
p27,20285081301,51.261404247366
p28,20285081301,386.26297222962376
p29,20285081301,5.371272315652274
p30,20285081301,75.70249572395812
p31,20285081301,106.27188447344211
p32,20285081301,8.759860219486574
p33,20285081301,221.952507701148
p34,20285081301,71.412687632934
p35,20285081301,3.064148636445926
p36,20285081301,31.182218476773254
p37,20285081301,64.67156063275274
p38,20285081301,41.81661668561512
p39,20285081301,7.930737647271824
p40,20285081301,47.476279461168
p41,20285081301,89.65338422165887
p42,20285081301,14.707913454940462
p43,20285081301,216.0405032731815
p44,20285081301,6.128297272891837
p45,20285081301,48.0530603809695
p46,20285081301,36.80583244483871
p47,20285081301,35.36388014533474
p48,20285081301,118.70872305666413
p49,20285081301,2.9920510214707274
p50,20285081301,198.77312448662173
p51,20285081301,103.27983345197136
p52,20285081301,6.27249250284225
p53,20285081301,148.80947730880914
p54,20285081301,77.4688872908505
p55,20285081301,41.70847026315224
p56,20285081301,77.86542417321412
p57,20285081301,48.66589010825888
p58,20285081301,386.91185076440246
p59,20285081301,54.253455268836746
p60,20285081301,18.92562393098955
p61,20285081301,43.04227614019349
p62,20285081301,36.12090510257434
p63,20285081301,757.745933389335
p64,20285081301,250.0345287339877
p65,20285081301,385.10941039002
p66,20285081301,118.78082067163912
p67,20285081301,545.5266037098374
p68,20285081301,13.662498037800075
p69,20285081301,21.88162614497269
p70,20285081301,150.82821052811474
p71,20285081301,6.488785347767849
p72,20285081301,140.193812319273
p73,20285081301,9.156397101850162
p74,20285081301,11.030935091205338
p75,20285081301,40.590957231036754
p76,20285081301,46.539010466490375
p77,20285081301,12.905473080560474
p78,20285081301,33.41724454100441
p79,20285081301,109.33603310988823
p80,20285081301,342.3555247097291
p81,20285081301,82.11918345675075
p82,20285081301,29.5600221398313
p83,20285081301,48.593792493283495
p84,20285081301,16.402207406857613
p85,20285081301,144.15918114290886
p86,20285081301,99.67495270321164
p87,20285081301,158.90314340533686
p88,20285081301,60.23755731177825
p89,20285081301,206.30732525152987
p90,20285081301,189.2562393098955
p91,20285081301,54.46974811376213
p92,20285081301,467.9495699965237
p93,20285081301,48.08910918845737
p94,20285081301,654.6102951673125
p95,20285081301,120.11462654868036
p96,20285081301,218.7441638347515
p97,20285081301,267.37400513552285
p98,20285081301,263.19234346696123
p99,20285081301,554.7911472341513
p100,20285081301,18.493038241138347
p101,20285081301,640.479162632175
p102,20285081301,356.09012036250414
p103,20285081301,362.4707592878093
p104,20285081301,34.06612307578118
p105,20285081301,227.8645121291141
p106,20285081301,73.1430303923385
p107,20285081301,114.85150065549074
p108,20285081301,28.190167455302515
p109,20285081301,181.7580873524749
p110,20285081301,18.24069658872517
p111,20285081301,207.85742397349648
p112,20285081301,214.9590390485535
p113,20285081301,52.16262443455612
p114,20285081301,81.93893941931287
p115,20285081301,97.656219483906
p116,20285081301,65.35648797501712
p117,20285081301,47.90886515101913
p118,20285081301,90.12201871899786
p119,20285081301,11.427471973568926
p120,20285081301,6.813224615156249
p121,20285081301,19.754746503204338
p122,20285081301,377.4310143951637
p123,20285081301,217.1219674978095
p124,20285081301,3.0280998289583287
p125,20285081301,38.57222401173113
p126,20285081301,255.0813617822516
p127,20285081301,435.5416920651712
p128,20285081301,183.0918932295161
p129,20285081301,18.096501358774763
p130,20285081301,35.18363610789675
p131,20285081301,179.414914865781
p132,20285081301,92.78963047308
p133,20285081301,28.082021032839712
p134,20285081301,39.761834658822
p1,20285081302,238.859398412832
p2,20285081302,93.04197212549325
p3,20285081302,53.280137466671626
p4,20285081302,16.83479309670881
p5,20285081302,198.016099529382
p6,20285081302,42.609690450342
p7,20285081302,6.128297272891837
p8,20285081302,6.128297272891837
p9,20285081302,504.575158403925
p10,20285081302,569.895597571455
p11,20285081302,81.83079299685001
p12,20285081302,68.06014853658712
p13,20285081302,172.20515336826114
p14,20285081302,21.449040455121487
p15,20285081302,66.43795219964512
p16,20285081302,31.75899939657484
p17,20285081302,28.550655530178528
p18,20285081302,19.322160813353136
p19,20285081302,0.46863449733879
p20,20285081302,9.87737325160215
p21,20285081302,37.851247861979246
p22,20285081302,6.200394887867062
p23,20285081302,7.786542417321412
p24,20285081302,37.81519905449137
p25,20285081302,133.6689781640175
p26,20285081302,6.16434608037945
p27,20285081302,48.08910918845737
p28,20285081302,363.19173543756114
p29,20285081302,5.046833048263875
p30,20285081302,71.19639478800825
p31,20285081302,102.27046684231874
p32,20285081302,8.471469759585787
p33,20285081302,208.86679058314948
p34,20285081302,67.05078192693449
p35,20285081302,2.9199534064955284
p36,20285081302,30.96592563184766
p37,20285081302,61.75160722625737
p38,20285081302,40.48281080857387
p39,20285081302,7.858640032296599
p40,20285081302,47.11579138629188
p41,20285081302,89.00450568688237
p42,20285081302,14.203230150114075
p43,20285081302,208.65049773822372
p44,20285081302,5.94805323545385
p45,20285081302,46.3587664290525
p46,20285081302,35.43597776030996
p47,20285081302,33.957976653318376
p48,20285081302,115.46433038278012
p49,20285081302,2.9920510214707274
p50,20285081302,198.30448998928276
p51,20285081302,102.99144299207062
p52,20285081302,6.27249250284225
p53,20285081302,148.66528207885875
p54,20285081302,75.08966599666913
p55,20285081302,40.44676200108637
p56,20285081302,75.7745933389335
p57,20285081302,47.404181846193005
p58,20285081302,372.8167670367503
p59,20285081302,52.955698199283
p60,20285081302,18.42094062616316
p61,20285081302,41.672421455664754
p62,20285081302,35.147587300409135
p63,20285081302,737.7388452337162
p64,20285081302,243.6178410011951
p65,20285081302,373.8982312613783
p66,20285081302,115.50037919026762
p67,20285081302,531.4675687896749
p68,20285081302,13.229912347948874
p69,20285081302,21.124601187733088
p70,20285081302,145.81742628733835
p71,20285081302,6.27249250284225
p72,20285081302,135.8319066132735
p73,20285081302,8.868006641949375
p74,20285081302,10.598349401354136
p75,20285081302,39.04085850906975
p76,20285081302,44.772618899598
p77,20285081302,12.4368385832217
p78,20285081302,32.22763389391361
p79,20285081302,105.15437144132662
p80,20285081302,333.343322837829
p81,20285081302,79.95625500749475
p82,20285081302,28.766948375104125
p83,20285081302,47.25998661624262
