RPS_PROGRAM,LOAD_ZONE,PERIOD,rps_share,unbundled_rec_limit_fraction
ESR_DE_rps_solar,p125,2030,0.039997389382843,0.94
ESR_IA_rps,p45,2030,0.0051462397601057,.
ESR_IA_rps,p69,2030,0.0051462397601057,.
ESR_IA_rps,p70,2030,0.0051462397601057,.
ESR_IL_ces,p80,2030,0.3346430774620132,0.08
ESR_IL_ces,p81,2030,0.3346430774620132,0.08
ESR_IL_ces,p82,2030,0.3346430774620132,0.08
ESR_IL_ces,p83,2030,0.3346430774620132,0.08
ESR_IL_rps,p80,2030,0.3346430774620132,0.08
ESR_IL_rps,p81,2030,0.3346430774620132,0.08
ESR_IL_rps,p82,2030,0.3346430774620132,0.08
ESR_IL_rps,p83,2030,0.3346430774620132,0.08
ESR_IL_rps_solar,p80,2030,0.1590353982020779,0.08
ESR_IL_rps_solar,p81,2030,0.1590353982020779,0.08
ESR_IL_rps_solar,p82,2030,0.1590353982020779,0.08
ESR_IL_rps_solar,p83,2030,0.1590353982020779,0.08
ESR_IL_rps_wind,p80,2030,0.1301198712562455,0.08
ESR_IL_rps_wind,p81,2030,0.1301198712562455,0.08
ESR_IL_rps_wind,p82,2030,0.1301198712562455,0.08
ESR_IL_rps_wind,p83,2030,0.1301198712562455,0.08
ESR_MA_ces,p131,2030,0.6570572547712347,0.62
ESR_MA_rps,p131,2030,0.3864990494178842,0.62
ESR_MA_rps_solar,p131,2030,0.0923651654553256,0.62
ESR_MD_rps,p121,2030,0.5442870332342202,0.71
ESR_MD_rps,p123,2030,0.5442870332342202,0.71
ESR_MD_rps_solar,p121,2030,0.1094038964148025,0.71
ESR_MD_rps_solar,p123,2030,0.1094038964148025,0.71
ESR_MD_rps_wind,p121,2030,0.1078020420967551,0.71
ESR_MD_rps_wind,p123,2030,0.1078020420967551,0.71
ESR_ME_ces,p134,2030,0.7852388564870698,1
ESR_ME_rps,p134,2030,0.7852388564870698,1
ESR_MI_ces,p74,2030,0.3833777139838542,.
ESR_MI_ces,p103,2030,0.3833777139838542,.
ESR_MI_ces,p104,2030,0.3833777139838542,.
ESR_MI_rps,p74,2030,0.3833777139838542,.
ESR_MI_rps,p103,2030,0.3833777139838542,.
ESR_MI_rps,p104,2030,0.3833777139838542,.
ESR_MN_ces,p42,2030,0.7202072298321265,0.24
ESR_MN_ces,p43,2030,0.7202072298321265,0.24
ESR_MN_ces,p44,2030,0.7202072298321265,0.24
ESR_MN_ces,p68,2030,0.7202072298321265,0.24
ESR_MN_rps,p42,2030,0.4038208812038634,0.24
