load_zone,fuel,period,fuel_cost
p48,uranium,2030,0.677271350911614
p48,uranium,2035,0.677271350911614
p49,uranium,2028,1.37390438022092
p49,uranium,2030,1.37390438022092
p49,uranium,2035,1.37390438022092
p50,uranium,2028,1.37390438022092
p50,uranium,2030,1.37390438022092
p50,uranium,2035,1.37390438022092
p51,uranium,2028,1.37390438022092
p51,uranium,2030,1.37390438022092
p51,uranium,2035,1.37390438022092
p52,uranium,2028,0.668010497772949
p52,uranium,2030,0.668010497772949
p52,uranium,2035,0.668010497772949
p53,uranium,2028,0.668010497772949
p53,uranium,2030,0.668010497772949
p53,uranium,2035,0.668010497772949
p54,uranium,2028,0.942488186407454
p54,uranium,2030,0.942488186407454
p54,uranium,2035,0.942488186407454
p55,uranium,2028,0.942488186407454
p55,uranium,2030,0.942488186407454
p55,uranium,2035,0.942488186407454
p56,uranium,2028,0.57769142665462
p56,uranium,2030,0.57769142665462
p56,uranium,2035,0.57769142665462
p57,uranium,2028,0.677271350911614
p57,uranium,2030,0.677271350911614
p57,uranium,2035,0.677271350911614
p58,uranium,2028,0.631619064669573
p58,uranium,2030,0.631619064669573
p58,uranium,2035,0.631619064669573
p59,uranium,2028,0.677271350911614
p59,uranium,2030,0.677271350911614
p59,uranium,2035,0.677271350911614
p60,uranium,2028,0.677271350911614
p60,uranium,2030,0.677271350911614
p60,uranium,2035,0.677271350911614
p61,uranium,2028,0.677271350911614
p61,uranium,2030,0.677271350911614
p61,uranium,2035,0.677271350911614
p62,uranium,2028,0.677271350911614
p62,uranium,2030,0.677271350911614
p62,uranium,2035,0.677271350911614
p63,uranium,2028,0.677271350911614
p63,uranium,2030,0.677271350911614
p63,uranium,2035,0.677271350911614
p64,uranium,2028,0.677271350911614
p64,uranium,2030,0.677271350911614
p64,uranium,2035,0.677271350911614
p65,uranium,2028,0.677271350911614
p65,uranium,2030,0.677271350911614
p65,uranium,2035,0.677271350911614
p66,uranium,2028,0.677271350911614
p66,uranium,2030,0.677271350911614
p66,uranium,2035,0.677271350911614
p67,uranium,2028,0.677271350911614
p67,uranium,2030,0.677271350911614
p67,uranium,2035,0.677271350911614
p68,uranium,2028,0.868239244194314
p68,uranium,2030,0.868239244194314
p68,uranium,2035,0.868239244194314
p69,uranium,2028,0.787824359716576
p69,uranium,2030,0.787824359716576
p69,uranium,2035,0.787824359716576
p70,uranium,2028,0.787824359716576
p70,uranium,2030,0.787824359716576
p70,uranium,2035,0.787824359716576
p71,uranium,2028,0.942488186407454
p71,uranium,2030,0.942488186407454
p71,uranium,2035,0.942488186407454
p72,uranium,2028,0.942488186407454
p72,uranium,2030,0.942488186407454
p72,uranium,2035,0.942488186407454
p73,uranium,2028,0.942488186407454
p73,uranium,2030,0.942488186407454
p73,uranium,2035,0.942488186407454
p74,uranium,2028,0.60023265819126
p74,uranium,2030,0.60023265819126
p74,uranium,2035,0.60023265819126
p75,uranium,2028,0.677271350911614
p75,uranium,2030,0.677271350911614
p75,uranium,2035,0.677271350911614
p76,uranium,2028,0.677271350911614
p76,uranium,2030,0.677271350911614
p76,uranium,2035,0.677271350911614
p77,uranium,2028,0.677271350911614
p77,uranium,2030,0.677271350911614
p77,uranium,2035,0.677271350911614
p78,uranium,2028,0.677271350911614
p78,uranium,2030,0.677271350911614
p78,uranium,2035,0.677271350911614
p79,uranium,2028,0.677271350911614
p79,uranium,2030,0.677271350911614
p79,uranium,2035,0.677271350911614
p80,uranium,2028,0.680579563113122
p80,uranium,2030,0.680579563113122
p80,uranium,2035,0.680579563113122
p81,uranium,2028,0.680579563113122
p81,uranium,2030,0.680579563113122
p81,uranium,2035,0.680579563113122
