region,avg_base,peak_base,year,avg_growth,peak_growth,avg_targ,peak_targ
p33,4999.52151011089,7674,2050,1.63989603668507,1.55030361191408,8198.69550975259,11897.0299178286
p34,1812.38783431181,2782,2023,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2024,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2025,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2026,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2027,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2028,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2029,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2030,1,1,1812.38783431181,2782
p34,1812.38783431181,2782,2031,1.01900324824278,1.01682623382201,1846.82909023943,2828.81058249284
p34,1812.38783431181,2782,2032,1.03836761992933,1.03393558978866,1881.92484190323,2876.40881079206
p34,1812.38783431181,2782,2033,1.05809997757811,1.05133283177935,1917.68752684817,2924.80793801015
p34,1812.38783431181,2782,2034,1.07820731411771,1.06902280383163,1954.12981897294,2974.02144025959
p34,1812.38783431181,2782,2035,1.09869675536506,1.08701043148996,1991.2646330215,3024.06302040508
p34,1812.38783431181,2782,2036,1.1195755625508,1.10530072317718,2029.10512915987,3074.94661187892
p34,1812.38783431181,2782,2037,1.1408511348925,1.123898771589,2067.66471763999,3126.68638256061
p34,1812.38783431181,2782,2038,1.16253101221692,1.14280975511203,2106.95706355214,3179.29673872168
p34,1812.38783431181,2782,2039,1.18462287763201,1.16203893926563,2146.99609166769,3232.79232903698
p34,1812.38783431181,2782,2040,1.20713456024972,1.181591678168,2187.79599137393,3287.18804866337
p34,1812.38783431181,2782,2041,1.22346594214194,1.19574615272705,2217.39478923288,3326.56579688665
p34,1812.38783431181,2782,2042,1.24001827209023,1.21007018598708,2247.39403066069,3366.41525741606
p34,1812.38783431181,2782,2043,1.25679453931155,1.22456580911873,2277.79913327776,3406.74208096832
p34,1812.38783431181,2782,2044,1.27379777346409,1.23923507762436,2308.61558799978,3447.55198595096
p34,1812.38783431181,2782,2045,1.29103104519446,1.25408007162949,2339.84896002929,3488.85075927324
p34,1812.38783431181,2782,2046,1.30849746669217,1.26910289617783,2371.50488986071,3530.64425716671
p34,1812.38783431181,2782,2047,1.32620019225172,1.28430568152972,2403.589094299,3572.93840601567
p34,1812.38783431181,2782,2048,1.3441424188422,1.29969058346423,2436.10736749205,3615.7392031975
p34,1812.38783431181,2782,2049,1.36232738668464,1.31525978358488,2469.06558197704,3659.05271793312
p34,1812.38783431181,2782,2050,1.3807583798372,1.33101548962891,2502.46968974101,3702.88509214763
p35,79.7718525766471,118,2023,1,1,79.7718525766471,118
p35,79.7718525766471,118,2024,1.0383402128542,1.03394795342505,82.8303223842093,122.005858504156
p35,79.7718525766471,118,2025,1.0781503976301,1.06904837039185,86.0060545752016,126.147707706238
p35,79.7718525766471,118,2026,1.11948691336407,1.10534037467904,89.3035450143645,130.430164212127
p35,79.7718525766471,118,2027,1.16240827990994,1.14286441823747,92.7274619388496,134.858001352022
p35,79.7718525766471,118,2028,1.20697526078517,1.18166232627894,96.2826525670145,139.436154500915
p35,79.7718525766471,118,2029,1.25325094919342,1.2217773438956,99.9741499606005,144.169726579681
p35,79.7718525766471,118,2030,1.30130085734522,1.26325418426195,103.807180150007,149.06399374291
p35,79.7718525766471,118,2031,1.31375302774429,1.27395747105916,104.800512851342,150.326981584981
p35,79.7718525766471,118,2032,1.32632435317718,1.28475144455244,105.803350770466,151.600670457188
p35,79.7718525766471,118,2033,1.33901597384044,1.29563687311107,106.815784862975,152.885151027106
p35,79.7718525766471,118,2034,1.35182904084123,1.30661453161457,107.837906954817,154.180514730519
p35,79.7718525766471,118,2035,1.36476471630164,1.31768520150786,108.869809750624,155.486853777927
p35,79.7718525766471,118,2036,1.37782417346415,1.32884967085685,109.911586842123,156.804261161108
p35,79.7718525766471,118,2037,1.391008596798,1.34010873440459,110.963332716619,158.132830659742
p35,79.7718525766471,118,2038,1.40431918210665,1.35146319362782,112.025142765569,159.472656848083
p35,79.7718525766471,118,2039,1.41775713663621,1.36291385679402,113.097113293233,160.823835101694
p35,79.7718525766471,118,2040,1.43132367918496,1.37446153901894,114.179341525407,162.186461604235
p35,79.7718525766471,118,2041,1.43989700192949,1.38175112707945,114.863251363476,163.046632995375
p35,79.7718525766471,118,2042,1.44852167704384,1.38907937616654,115.551257675218,163.911366387652
p35,79.7718525766471,118,2043,1.45719801211769,1.39644649132266,116.243384997636,164.780685976074
p35,79.7718525766471,118,2044,1.46592631658318,1.40385267867771,116.939658014701,165.65461608397
p35,79.7718525766471,118,2045,1.47470690172583,1.41129814545484,117.640101558237,166.533181163671
p35,79.7718525766471,118,2046,1.48354008069573,1.41878309997621,118.344740608807,167.416405797193
p35,79.7718525766471,118,2047,1.49242616851865,1.42630775166884,119.0536002966,168.304314696924
p35,79.7718525766471,118,2048,1.5013654821073,1.43387231107049,119.766705902331,169.196932706317
p35,79.7718525766471,118,2049,1.51035834027265,1.44147698983548,120.484082858139,170.094284800586
p35,79.7718525766471,118,2050,1.51940506373525,1.4491220007407,121.2057567485,170.996396087402
p36,782.892123287671,1285,2023,1,1,782.892123287671,1285
p36,782.892123287671,1285,2024,1.06188271910043,1.05479342730376,831.339616639024,1355.40955408533
p36,782.892123287671,1285,2025,1.12759490912413,1.11258917428321,882.785172612558,1429.67708895392
p36,782.892123287671,1285,2026,1.19737354814454,1.17355174832324,937.414319475368,1508.01399659536
p36,782.892123287671,1285,2027,1.27147027908265,1.23785467073219,995.424066488186,1590.64325189086
p36,782.892123287671,1285,2028,1.35015231720767,1.30568097064557,1057.02361438049,1677.80004727955
p36,782.892123287671,1285,2029,1.43370341379623,1.37722370599253,1122.43510979172,1769.73246220041
p36,782.892123287671,1285,2030,1.52242487942552,1.45268651300785,1191.89444639942,1866.70216921508
p36,782.892123287671,1285,2031,1.53627516715463,1.46438834626934,1202.73772756781,1881.73902495611
p36,782.892123287671,1285,2032,1.55025145812552,1.47618444136948,1213.6796556817,1896.89700715978
p36,782.892123287671,1285,2033,1.56435489865496,1.48807555761613,1224.72112818345,1912.17709153673
p36,782.892123287671,1285,2034,1.57858664548833,1.50006246043364,1235.86305067992,1927.58026165723
p36,782.892123287671,1285,2035,1.59294786589456,1.51214592141207,1247.10633701675,1943.10750901452
p36,782.892123287671,1285,2036,1.60743973776178,1.52432671835689,1258.4519093533,1958.7598330886
p36,782.892123287671,1285,2037,1.62206344969403,1.536605635339,1269.90069823828,1974.53824141061
p36,782.892123287671,1285,2038,1.63682020110866,1.54898346274526,1281.45364268612,1990.44374962766
p36,782.892123287671,1285,2039,1.65171120233477,1.56146099732932,1293.1116902539,2006.47738156818
p36,782.892123287671,1285,2040,1.66673767471242,1.57403904226295,1304.87579711916,2022.64016930789
p36,782.892123287671,1285,2041,1.67511705286123,1.58104583249793,1311.43594626991,2031.64389475984
p36,782.892123287671,1285,2042,1.68353855760214,1.58808381326128,1318.0290759978,2040.68770004074
p36,782.892123287671,1285,2043,1.69200240072291,1.59515312339674,1324.6553521098,2049.77176356482
p36,782.892123287671,1285,2044,1.70050879507606,1.60225390236615,1331.31494124646,2058.8962645405
p36,782.892123287671,1285,2045,1.70905795458419,1.6093862902521,1338.0080108861,2068.06138297395
p36,782.892123287671,1285,2046,1.71765009424537,1.61655042776082,1344.73472934903,2077.26729967265
p36,782.892123287671,1285,2047,1.72628543013859,1.62374645622483,1351.49526580177,2086.5141962489
p36,782.892123287671,1285,2048,1.73496417942912,1.63097451760582,1358.28979026132,2095.80225512348
p36,782.892123287671,1285,2049,1.74368656037403,1.63823475449743,1365.1184735994,2105.1316595292
p36,782.892123287671,1285,2050,1.75245279232766,1.64552731012802,1371.98148754681,2114.5025935145
p37,2133.51149706458,3494,2023,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2024,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2025,1,1,2133.51149706458,3494
