region,avg_base,peak_base,year,avg_growth,peak_growth,avg_targ,peak_targ
p35,79.7718525766471,118,2044,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p35,79.7718525766471,118,2045,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p35,79.7718525766471,118,2046,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p35,79.7718525766471,118,2047,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p35,79.7718525766471,118,2048,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p35,79.7718525766471,118,2049,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p35,79.7718525766471,118,2050,1.31227047276652,1.31227047276652,104.682246694217,154.847915786449
p36,782.892123287671,1285,2023,1,1,782.892123287671,1285
p36,782.892123287671,1285,2024,1.02948625785728,1.02948625785728,805.976682309364,1322.8898413466
p36,782.892123287671,1285,2025,1.05984195511698,1.05984195511698,829.741918590891,1361.89691232532
p36,782.892123287671,1285,2026,1.09109272829352,1.09109272829352,854.207902757455,1402.05415585718
p36,782.892123287671,1285,2027,1.12326496982619,1.12326496982619,879.395297241886,1443.39548622665
p36,782.892123287671,1285,2028,1.15638585036853,1.15638585036853,905.325373734838,1485.95581772356
p36,782.892123287671,1285,2029,1.19048334173501,1.19048334173501,932.020031149521,1529.77109412948
p36,782.892123287671,1285,2030,1.2255862405242,1.2255862405242,959.501814116144,1574.87831907359
p36,782.892123287671,1285,2031,1.23399052370615,1.23399052370615,966.081461221175,1585.67782296241
p36,782.892123287671,1285,2032,1.24245243806368,1.24245243806368,972.706227319615,1596.55138291182
p36,782.892123287671,1285,2033,1.25097237879435,1.25097237879435,979.376421808537,1607.49950675074
p36,782.892123287671,1285,2034,1.25955074380577,1.25955074380577,986.092356206665,1618.52270579041
p36,782.892123287671,1285,2035,1.26818793373412,1.26818793373412,992.854344168913,1629.62149484835
p36,782.892123287671,1285,2036,1.27688435196291,1.27688435196291,999.662701501041,1640.79639227233
p36,782.892123287671,1285,2037,1.28564040464175,1.28564040464175,1006.5177461744,1652.04791996465
p36,782.892123287671,1285,2038,1.29445650070542,1.29445650070542,1013.4197983408,1663.37660340647
p36,782.892123287671,1285,2039,1.30333305189287,1.30333305189287,1020.36918034741,1674.78297168234
p36,782.892123287671,1285,2040,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2041,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2042,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2043,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2044,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2045,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2046,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2047,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2048,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2049,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p36,782.892123287671,1285,2050,1.31227047276652,1.31227047276652,1027.36621675189,1686.26755750497
p37,2133.51149706458,3494,2023,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2024,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2025,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2026,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2027,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2028,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2029,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2030,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2031,1.01845490252449,1.01845490252449,2172.88524377778,3558.48142942056
p37,2133.51149706458,3494,2032,1.03725038847617,1.03725038847617,2212.9856291486,3624.15285733572
p37,2133.51149706458,3494,2033,1.05639274328898,1.05639274328898,2253.82606322263,3691.0362450517
p37,2133.51149706458,3494,2034,1.07588836839396,1.07588836839396,2295.42020352656,3759.15395916849
p37,2133.51149706458,3494,2035,1.0957437833599,1.0957437833599,2337.78195963539,3828.52877905949
p37,2133.51149706458,3494,2036,1.11596562807362,1.11596562807362,2380.92549782396,3899.18390448923
p37,2133.51149706458,3494,2037,1.1365606649604,1.1365606649604,2424.86524580438,3971.14296337164
p37,2133.51149706458,3494,2038,1.15753578124541,1.15753578124541,2469.61589755072,4044.43001967147
p37,2133.51149706458,3494,2039,1.1788979912569,1.1788979912569,2515.19241821294,4119.06958145162
p37,2133.51149706458,3494,2040,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2041,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2042,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2043,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2044,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2045,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2046,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2047,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
