region,avg_base,peak_base,avg_growth,peak_growth,year,avg_targ,peak_targ
p67,11474.9730104371,20436,1.31654629398819,1.19005368505796,2032,15107.3331905054,24319.9371078446
p67,11474.9730104371,20436,1.35739678601155,1.21328502464304,2033,15576.0914839365,24794.6927636051
p67,11474.9730104371,20436,1.39951480862322,1.23696986909575,2034,16059.3946566584,25278.7162448407
p67,11474.9730104371,20436,1.44293969143008,1.26111707139954,2035,16557.6940148485,25772.188471121
p67,11474.9730104371,20436,1.48771198437877,1.28573565735921,2036,17071.4548680502,26275.2938937928
p67,11474.9730104371,20436,1.53387349562106,1.31083482897456,2037,17601.1569636764,26788.2205649241
p67,11474.9730104371,20436,1.58146733055405,1.33642396787998,2038,18147.2949349957,27311.1602075952
p67,11474.9730104371,20436,1.63053793207183,1.3625126388511,2039,18710.3787630181,27844.3082875611
p67,11474.9730104371,20436,1.68113112206602,1.38911059337999,2040,19290.9342527134,28387.8640863135
p67,11474.9730104371,20436,1.73329414421403,1.41622777332004,2041,19889.5035240046,28942.0307755683
p67,11474.9730104371,20436,1.78707570809498,1.44387431460209,2042,20506.6455179976,29507.0154932083
p67,11474.9730104371,20436,1.84252603467449,1.47206055102306,2043,21142.9365189173,30083.0294207073
p67,11474.9730104371,20436,1.89969690320073,1.50079701810853,2044,21798.9706922392,30670.2878620659
p67,11474.9730104371,20436,1.95864169955569,1.53009445705075,2045,22475.360639518,31269.0103242891
p67,11474.9730104371,20436,2.01941546610661,1.5599638187235,2046,23172.7379704325,31879.4205994334
p67,11474.9730104371,20436,2.08207495310433,1.59041626777535,2047,23891.7538925791,32501.7468482571
p67,11474.9730104371,20436,2.14667867167633,1.6214631868028,2048,24633.0798195668,33136.2216855021
p67,11474.9730104371,20436,2.21328694846423,1.65311618060491,2049,25397.4079979796,33783.082266842
p67,11474.9730104371,20436,2.28196198195641,1.68538708052095,2050,26185.4521537932,34442.5703775261
p68,386.631115459883,622,1,1,2023,386.631115459883,622
p68,386.631115459883,622,1.03849107132661,1.02290533486197,2024,401.512961302135,636.247118284143
p68,386.631115459883,622,1.07846370522509,1.04633532408907,2025,416.967625334174,650.820571583402
p68,386.631115459883,622,1.11997492862607,1.07030198506524,2026,433.017155941798,665.727834710576
p68,386.631115459883,622,1.16308396348783,1.09481761043658,2027,449.6844501768,680.976553691553
